,Rank,Value,Name,Price,Signature,Comments,Tone Grade,Technical Grade,Setup,Status
396,C+,,FiiO FH3,150,V-shaped,"Does come off as sort of a broken FH5, but the FH5 elements are mostly there.",C+,B-,2BA 1DD,E1 demo unit
397,C+,,Anker Soundcore Liberty 2 Pro,150,V-shaped,"Impressive sub-focused bass response, limited by its shouty and sharp midrange and treble.",B-,C+,1BA 1DD,Third party unit
398,C+,,Tanchjim Hana,160,Mild V-shape,"Somewhat strange upper-midrange tonality. Not a ""mini-Oxygen"".",C+,B-,DD,Available for demo at The Hangout
399,C+,,ThieAudio Voyager 3 (V3),160,Warm V-shape,Slightly esoteric signature that somewhat works.,C+,B-,3BA,Available for demo at The Hangout
400,C+,,Jabra Elite Active 65t,190,Neutral,"Excellent tonal balance and timbre, though technical ability isn't the best.",B-,C+,DD,ConnectIT demo unit
401,C+,,ikko OH10,200,V-shaped,"Your standard ""chifi V"" but done fairly well. Decently technical.",C+,B-,1BA 1DD,Zeppelin & Co demo unit
402,C+,,ikko OH1S,200,Bright neutral,,C+,B-,1BA 1DD,Available for demo at The Hangout
403,C+,,iBasso IT01S,200,V-shaped,"Balanced tuning, slight lean towards brightness. Should be pleasing for most ears.",C+,B-,DD,Zeppelin & Co demo unit
404,C+,,qdc Uranus,200,Warm,Sounds like another variation of the qdc Fusion. Not sure which is worse though.,C+,B-,1BA 1DD,Music Sanctuary demo unit
405,C+,,DUNU Falcon Pro,220,Warm,,C+,B-,DD,Available for demo at The Hangout
406,C+,,Yanyin Aladdin,250,Neutral,,C+,B-,3BA 1DD,Available for demo at The Hangout
407,C+,,Sennheiser Momentum True Wireless 3,250,Warm,"A much-needed improvement over its predecessors, but still comes with suppressed upper harmonics.",B-,C+,DD,Showfloor demo unit
408,C+,,AAW A3H Plus,250,Warm neutral,A lot more balanced compared to the 2019 version. Good tonality if limited by resolution.,B-,C+,2BA 1DD,Zeppelin & Co demo unit
409,C+,,Mangird Tea,300,"""Balanced""","In a weird place, tonally. Not quite wrong enough to be ""wonky"", but certainly not right either.",C+,B-,6BA 1DD,Available for demo at The Hangout
410,C+,,Tin HiFi P2,350,Warm U-shape,"A good upgrade over the original in terms of technicalities, but the bothersome sibilance still exists.",C+,B-,Planar,Available for demo at The Hangout
411,C+,,Soranik ION-4,350,Neutral with bass boost,"Fairly detailed with good imaging performance, though tuning needs more refinement.",C+,B-,1EST 2BA 1DD,Showfloor demo unit
412,C+,,Audio Genetic AG2,450,Warm,"Warm, smooth presentation... perhaps a little too smoothed over for my liking.",C+,B-,2BA,Zeppelin & Co demo unit
413,C+,,FAudio Chorus,500,Warm V-shape,,C+,B-,3BA,e-Earphone demo unit
414,C+,,IMR Zenith,550,Variable,"Assuming blue filters, probably the best tuned IMR IEM. Every other filter is garbage.",B-,C+,1Piezo 1DD,Third party unit
415,C+,,Lime Ears LE2,600,Neutral,"As with most GQ setups: well-balanced, excellent tuning and decent technical ability.",C+,B-,2BA,Music Sanctuary demo unit
416,C+,,Unique Melody Mini MEST,600,V-shaped,Bone conduction driver doesn't seem to be doing much. Just your average V-shaped BA IEM.,C+,B-,1BC 3BA,Available for demo at The Hangout
417,C+,,Elysian Artemis,600,Warm,"Thick, warm and smooth signature without complete sacrifice in technicalities.",B-,C+,3BA,Available for demo at The Hangout
418,C+,,Open Audio Mercury,600,Neutral with bass boost,,B-,C+,4BA 1DD,Available for demo at The Hangout
419,C+,,AAW x Custom Art Project 4+2,750,Variable,"Competent tuning overall, though lacking definition and clarity.",B-,C+,4BA 2DD,Zeppelin & Co demo unit
420,C+,,Craft Ears Cuprum,800,U-shaped,,C+,B-,2BA 1DD,Zeppelin & Co demo unit
421,C+,,Ultimate Ears UE7 Pro,850,Warm neutral,"Good clarity and detail with boosted, warm bass and controlled treble.",B-,C+,3BA,Zeppelin & Co demo unit
422,C+,,Eternal Melody EM-5,900,Warm,"Very warm, bordering on bloated. Could use a little less lower mids or a bit more upper mids.",C+,B-,5BA,Zeppelin & Co demo unit
423,C+,,qdc Fusion,920,Warm,Dulled transients and lacks detailing. Tonality is merely okay.,C+,B-,4BA 1DD,Music Sanctuary demo unit
424,C+,,Alclair Studio4,950,Mild V-shape,"Transients are a little mushy and lacking snap, but at least the tuning's halfway decent.",B-,C+,4BA,Ear.Inc demo unit
425,C+,,ikko OH7,950,V-shaped,"Well-controlled bass response, though the rest leaves a lot to be desired.",B-,C+,DD,Zeppelin & Co demo unit
426,C+,,Shure SE846,1000,Neutral with bass boost,Deep reaching bass but with an odd tonality in the rest of the spectrum.,B-,C+,4BA,Zeppelin & Co demo unit
427,C+,,NCM Bella,1050,U-shaped,"Powerful bass combined with clean sounding mids, though perhaps a tad aggressive at times.",C+,B-,8BA 1DD,Available for demo at The Hangout
428,C+,,Tralucent 1+Xplus,1200,U-shaped,"WARNING: comes with solid tips. Decent once you get a proper seal, but nothing exceptional.",C+,B-,1Planar 1BA 1DD,Available for demo at The Hangout
429,C+,,Canal Works CW-U77,1300,Neutral,,C+,B-,8BA,e-Earphone demo unit
430,C+,,Vision Ears VE4.2,1440,V-shaped,"Decently tuned monitor with adequate resolution, but nothing that hasn't been done before for cheap.",C+,B-,4BA,E1 demo unit
431,C+,,Earsonics Purple,1500,Neutral,"Probably the most ""normal-sounding"" Earsonics IEM. Still some tonal problems but not horrible.",C+,B-,5BA,Zeppelin & Co demo unit
432,C+,,AAW Halcyon,1500,Warm V-shape,Filters change the bass response. Congested presentation and lacks definition.,B-,C+,4EST 2BA 1DD,Zeppelin & Co demo unit
433,C+,,Empire Ears Nemesis,1600,V-shaped,A lot more treble compared to the Vantage.,C+,B-,3BA 2DD,Zeppelin & Co demo unit
434,C+,,AAW Canary,2170,V-shaped,"Poor implementation of the EST driver. Decent in tonality and timbre, but that's about it.",C+,B-,2EST 4BA 2DD,Music Sanctuary demo unit
435,C+,,Simphonio VR1,2300,Mild V-shape,,C+,B-,DD,Third party unit
436,C+,,Empire Ears Phantom LE,2500,Warm,"A slightly more balanced Phantom, that is to say it's not complete lower-mid bloat.",C+,B-,5BA,ConnectIT demo unit
437,C+,,HYLA Nerva-X,2750,Warm,"Pretty dead-sounding, and the lack of treble extension isn't doing it any favours.",B-,C+,10BA,Zeppelin & Co demo unit
438,C+,,Rhapsodio Infinity (Mk1),3600,V-shaped,,C+,B-,6BA,e-Earphone demo unit
439,C+,,Audio Technica ATH-IM02,Discont.,Warm neutral,"As with most GQ setups: well-balanced, excellent tuning and decent technical ability.",C+,B-,2BA,Third party unit
440,C+,,VSonic GR07 Bass Edition,Discont.,Neutral,"Rather than a bassier GR07, this seems more like a darker GR07.",B-,C+,DD,LMUE demo unit
441,C+,,VSonic GR07 Classic,Discont.,Mild V-shape,"Well-balanced, well-tuned, good technicalities. The $100 benchmark since ever.",B-,C+,DD,LMUE demo unit
442,C+,,Tralucent 1 Plus 2.2,Discont.,Bright V-shape,Decently tuned hybrid if a little inconsistent and past its prime.,B-,C+,2BA 1DD,Jaben SG demo unit
443,C+,,Vive XE800,Discont.,Mild V-shape,A mini GR07. Need I say more?,B-,C+,DD,Third party unit
444,C+,,FLC8S,Discont.,Variable,Very good technicalities with a well-tuned signature. Filters change the sound a lot.,B-,C+,2BA 1DD,Personal unit
445,C+,,Final Audio E500,20,Neutral,Very well-balanced though plagued by the usual E-series QC problems.,B,C,DD,Personal unit
446,C+,,Final Audio E1000,30,Neutral,Balanced tuning with good clarity and acceptable resolution. Surprising pick.,B,C,DD,Zeppelin & Co demo unit
447,C+,,QCY T5,35,Neutral,"An odd take on a reference-style signature, but definitely not the worst attempt out there.",B,C,DD,Third party unit
448,C+,,BLON BL03,38,Warm V-shape,Very pleasing and safe tuning with subpar technical detailing.,B,C,DD,Available for demo at The Hangout
449,C+,,EarFun x Oluv Free,50,Bassy,Bassy bordering on bleeding into the mids. Somewhat non-fatiguing but lacking resolution.,B,C,2DD,Personal unit
450,C+,,Neusonik direm E3,50,V-shaped,Sounds like an attempt at a MH755.,B,C,DD,Available for demo at The Hangout
451,C+,,Audiosense DT100,110,Neutral,,B,C,BA,Available for demo at The Hangout
452,C+,,Edifier TWS6,120,U-shaped,"Well-controlled bass response, though can come off as a bit hollow and pulled-back.",B,C,BA,Third party unit
453,C+,,Fearless Provence,140,Neutral with bass boost,,B,C,2BA 1DD,Available for demo at The Hangout
454,C+,,JVC HA-FX99X-B,170,Neutral with bass boost,Surprisingly well-controlled bass boost with a slightly warm tilt. Limited resolution.,B,C,DD,Third party unit
455,C+,,Seek Real Audio Airship,180,V-shaped,,B,C,DD,Available for demo at The Hangout
456,C+,,Sony MDR-EX600,200,"""Balanced""",Significantly different from the EX800/EX1000. Notable hole in the upper mids.,C,B,DD,Third party unit
457,C+,,Fatfreq Reference Plus V2,230,Dark neutral,,B,C,2BA,Showfloor demo unit
458,C+,,Shure Aonic 4,260,Neutral with bass boost,"Great tuning, but severely lacking upper octave air and extension.",B,C,1BA 1DD,ConnectIT demo unit
459,C+,,Unique Melody 3D Terminator,400,Bright V-shape,,C,B,3DD,e-Earphone demo unit
460,C+,,Vision Ears VE2,800,Warm,,B,C,2BA,e-Earphone demo unit
461,C+,,Lime Ears Aether R,1350,Variable,A downgrade from the original with weirder midrange tonality.,C,B,6BA,Music Sanctuary demo unit
462,C+,,Vision Ears VE6,1500,Warm neutral,A little incoherent and could use more midrange evenness.,C,B,6BA,E1 demo unit
463,C+,,Noble Kadence,1600,Bright V-shape,,C,B,8BA,e-Earphone demo unit
464,C+,,Ambient Acoustics MAD24,3500,Warm,,C,B,24BA,Review loaner
465,C+,,Advanced Evo X,Discont.,Neutral,A well-balanced Bluetooth IEM. A very nice surprise.,B,C,DD,Zeppelin & Co demo unit
466,C+,,ThieAudio Legacy 2 (L2),100,Neutral,,B+,C-,1BA 1DD,Available for demo at The Hangout
467,C+,,Ultimate Ears UE18+ Pro Gen 3,1500,"""Balanced""","Perceived more neutrally compared to the Gen 2; less emotional, more boring.",C-,B+,6BA,Music Sanctuary demo unit
468,C+,,Tanchjim Tanya,25,V-shaped,,C+,C+,DD,Available for demo at The Hangout
469,C+,,Zero Audio Carbo Tenore ZH-DX200-CT,40,V-shaped,A well-tuned V-shaped signature that maintains solid midrange and excellent clarity.,C+,C+,DD,Personal unit
470,C+,,Urbanfun YBF-ISS014,60,V-shaped,Clear detailing marred slightly by an almost generic and sharp tuning.,C+,C+,DD,Available for demo at The Hangout
471,C+,,HZSound Heart Mirror,60,"""Balanced""",,C+,C+,DD,Third party unit
472,C+,,FiiO F9,100,Bright V-shape,"Good technicalities, average timbre, perhaps a little excessive on the highs.",C+,C+,2BA 1DD,Available for demo at The Hangout
473,C+,,Periodic Audio Mg,100,Warm,Not the most clear or detailed but a very clean sound with good timbre.,C+,C+,DD,Available for demo at The Hangout
474,C+,,Fearless Barcelona,120,Bassy,,C+,C+,1BA 1DD,Available for demo at The Hangout
475,C+,,FiiO F9 Pro,150,Bright V-shape,Pretty indistinguishable from the original F9.,C+,C+,2BA 1DD,Jaben SG demo unit
476,C+,,Shozy & Neo CP,165,Warm,"Reference-style tuning, decent tonal balance, solid technical ability.",C+,C+,3BA,LMUE demo unit
477,C+,,TFZ King Pro,170,V-shaped,"Powerful yet controlled bass response, good snap in the treble, doesn't sacrifice too much in the midrange.",C+,C+,DD,Third party unit
478,C+,,Final Audio Heaven 4,170,Warm neutral,"The black sheep of the ""Final single BA"" lineup. More normal sounding and also the warmest sounding.",C+,C+,BA,Jaben SG demo unit
479,C+,,Tin HiFi P1 Plus,170,Warm neutral,,C+,C+,Planar,Available for demo at The Hangout
480,C+,,KBEar TRI I3,200,V-shaped,"Surprisingly decent tonality, though somewhat average in the grand scheme of things.",C+,C+,1BA 1DD 1Planar,Third party unit
481,C+,,iBasso IT03,260,U-shaped,Excellent bass and clarity. Hollow midrange and somewhat metallic treble.,C+,C+,2BA 1DD,Zeppelin & Co demo unit
482,C+,,Fostex TM2,300,V-shaped,"A little thin, a little bright and a little shouty, but not bad overall.",C+,C+,DD,Third party unit
483,C+,,DUNU DN-2000,300,"""Balanced""","Lacking that necessary bite and forwardness in the upper mids, but otherwise fine.",C+,C+,2BA 1DD,Jaben SG demo unit
484,C+,,Final Audio B2,300,Neutral,"Fairly normal ""single BA tuning"", but severely lacking in upper treble extension.",C+,C+,BA,Showfloor demo unit
485,C+,,Aroma Star,300,V-shaped,"Fairly normal ""single BA tuning"", nothing exceptional nor terrible.",C+,C+,BA,AV One demo unit
486,C+,,Azla Horizon,300,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C+,DD,Zeppelin & Co demo unit
487,C+,,1Custom SA03,300,Warm V-shape,Warm lower-mid response balanced out by a forward treble presentation.,C+,C+,3BA,Jaben SG demo unit
488,C+,,UFOEar UFO-112,350,V-shaped,"Well-controlled bass response with a peaky, slightly shouty midrange and treble profile.",C+,C+,2BA 1DD,Available for demo at The Hangout
489,C+,,Yanyin Canon,350,Variable,,C+,C+,4BA 1DD,Available for demo at The Hangout
490,C+,,JVC HA-FW02,370,V-shaped,Very warm yet with some shoutiness. Too many conflicting things going on.,C+,C+,DD,Jaben SG demo unit
491,C+,,DUNU DN-2002,380,Warm,Slightly bassier and warmer version of the DN-2000.,C+,C+,2BA 2DD,Jaben SG demo unit
492,C+,,Craft Ears Craft TWO,400,Warm neutral,General downsloping response; not the worst performer but nothing that stands out either.,C+,C+,2BA,Ear.Inc demo unit
493,C+,,Custom Art FIBAE Black,500,Warm neutral,"Smooth, neutral-ish signature that serves as an all rounder.",C+,C+,1BA,Third party custom
494,C+,,IMR R2 Aten,500,Variable,Decent sounding mids with bass that ranges from bleeding to non-existent.,C+,C+,1Piezo 1DD,Third party unit
495,C+,,Tansio Mirai Land,600,Variable,,C+,C+,2EST 3BA 1DD,Available for demo at The Hangout
496,C+,,Empire Ears Bravado,700,V-shaped,A basic hybrid sound with big bass and energetic treble.,C+,C+,1BA 1DD,Zeppelin & Co demo unit
497,C+,,JH Audio Rosie,1000,Warm V-shape,One of the better-tuned JH IEMs. Still has some bloat issues and unnaturally sharp.,C+,C+,6BA,Zeppelin & Co demo unit
498,C+,,Ultimate Ears UE11 Pro,1150,Bassy,Quite a bit of low-end emphasis. Overly-congested and smeared transients.,C+,C+,4BA,Music Sanctuary demo unit
499,C+,,64 Audio Duo,1200,Warm,,C+,C+,1BA 1DD,Third party unit
500,C+,,AAW Mockingbird,1450,Neutral,"A ""nothing special"" kind of sound that is neither wrong nor exciting, even on a technical level.",C+,C+,8BA 1DD,Music Sanctuary demo unit
501,C+,,Aroma Yao,2500,Warm,"Competent tonality, good technicalities, nothing terrible but certainly expected more.",C+,C+,12BA,AV One demo unit
502,C+,,VSonic GR07X,Discont.,Neutral,Jack of all trades. Has all the fundamentals down to a T.,C+,C+,DD,Personal unit
503,C+,,Neusonik direm PRO,?,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C+,DD,Available for demo at The Hangout
504,C+,,1Custom SA05,?,Warm V-shape,Warm lower-mid response balanced out by a forward treble presentation.,C+,C+,5BA,Jaben SG demo unit
505,C,,Samsung AKG EO-IG955,10,V-shaped,That freebie you get with Samsung phones. Surprisingly competent and worth keeping.,B-,C,DD,Personal unit
506,C,,Tanchjim Zero,15,Bright neutral,,B-,C,DD,Available for demo at The Hangout
507,C,,FiiO F3,25,U-shaped,Well-balanced U-shaped sound that's rather atypical of a chifi dynamic IEM.,B-,C,DD,E1 demo unit
508,C,,Moondrop SSP,40,V-shaped,"Extra bass on top of the SSR does help it a little, but also results in a more hollow presentation.",C,B-,DD,Available for demo at The Hangout
509,C,,Final Audio E2000,45,V-shaped,"Not too dissimiliar to a GR07, though lacking in that last octave of bass extension.",B-,C,DD,E1 demo unit
510,C,,Final Audio E3000,55,Warm,"A warmer, bassier E2000.",B-,C,DD,E1 demo unit
511,C,,FiiO F5,65,V-shaped,"Typical chifi V-shaped sound, nothing much to report on.",B-,C,DD,E1 demo unit
512,C,,Shanling MTW200,70,Bright U-shape,,B-,C,DD,Available for demo at The Hangout
513,C,,FiiO FA1,100,Neutral,A pretty standard reference-style tuning that just works.,B-,C,BA,ConnectIT demo unit
514,C,,BQEYZ Spring 1,140,V-shaped,"Piezo treble is notably sharp and unpleasant, while overall detail and clarity is surprisingly high.",C,B-,1Piezo 1BA 1DD,Third party unit
515,C,,Fatfreq Reference,150,Neutral,,B-,C,BA,Showfloor demo unit
516,C,,NF Audio NM2+,170,Bright V-shape,"Tonality can get a little intense and is fairly underwhelming, though surprisingly resolving.",C,B-,DD,Available for demo at The Hangout
517,C,,KBEar Aurora,170,V-shaped,,B-,C,DD,Available for demo at The Hangout
518,C,,Final Audio E4000,180,V-shaped,"Rather standard sounding, non-offensive and neutral in tone.",B-,C,DD,E1 demo unit
519,C,,Oriolus Finschi,180,Bright,"Energetic and bright, overall a well built hybrid that can be strident for some ears.",B-,C,2BA 1DD,E1 demo unit
520,C,,DUNU DN-1000,200,Neutral,"Balanced, almost conservative tonality. A bit uncontrolled in the treble but otherwise not bad.",B-,C,2BA 1DD,Jaben SG demo unit
521,C,,ThieAudio Elixir,200,Neutral with bass boost,,B-,C,DD,Available for demo at The Hangout
522,C,,Symphonium Aurora,250,Warm neutral,"Fair standard warm-neutral tuning, limited by resolution.",B-,C,2BA,Music Sanctuary demo unit
523,C,,FiiO FH5s,280,V-shaped,"Varying degrees of ""V-shape"". Sounds like a regression from the original.",C,B-,2BA 2DD,Available for demo at The Hangout
524,C,,Final Audio E5000,280,Warm,Less treble than the E4000 for a slightly different flavour.,B-,C,DD,E1 demo unit
525,C,,FiiO FA7S,340,Warm,,C,B-,6BA,e-Earphone demo unit
526,C,,Eartech Dual Driver,350,Warm,Very pleasant and smoothing tuning bottlenecked by subpar technical ability.,B-,C,2BA,Music Sanctuary demo unit
527,C,,"Sennheiser Momentum True Wireless 2
(High-End Sound Tuning mode)",350,Neutral with bass boost,Big improvement in tonality over the stock MTW2. Treble peaks and unruly bass are tamed.,B-,C,DD,Zeppelin & Co demo unit
528,C,,AAW A3H Pro V2,370,Warm,Decent technicalities with well controlled bass and treble rolloff.,B-,C,2BA 1DD,Personal custom
529,C,,Oriolus Forsteni,375,U-shaped,"Spacious staging, good clarity, but thin in the mids and overly sharp.",C,B-,2BA 1DD,Zeppelin & Co demo unit
530,C,,AKG N40,400,Variable,A rather typical hybrid tuned to the Harman Target. Nothing special especially for the asking price.,B-,C,1BA 1DD,Zeppelin & Co demo unit
531,C,,Shure Aonic 5,450,Neutral,The spiritual successor to the SE535. A slight tonal problem but still equally dead with no extension.,B-,C,3BA,ConnectIT demo unit
532,C,,JVC HA-FW1500,500,V-shaped,,C,B-,DD,e-Earphone demo unit
533,C,,Noble Savant 2,500,Warm,Decent tonal balance with subpar detail retrieval.,B-,C,2BA,Stereo SG demo unit
534,C,,IMR Aten,550,Variable,"Bass noticeably bleeds into the mids, with the classic piezo treble sharpness.",C,B-,Piezo DD,Third party unit
535,C,,Noble Sage,600,Warm neutral,Probably the safest tuning in Noble's arsenal. Expectedly limited in sheer technicalities.,B-,C,2BA,Stereo SG demo unit
536,C,,Tralucent 1 Plus 1.2,650,Warm,"WARNING: the IEM is not compatible with eartips. Sounds alright, but also an extremely stupid design.",B-,C,1BA 1DD,Jaben SG demo unit
537,C,,Fatfreq 20.6,810,Warm,,C,B-,6BA,Showfloor demo unit
538,C,,Itsfit Fusion,950,"""Balanced""","Hard to pinpoint its exact signature, but the result is an odd tonality.",C,B-,1MS 2BA 1DD,Available for demo at The Hangout
539,C,,JH Audio JH13v2 Performance Series,1000,V-shaped,"Good all rounder, slightly warmer and more coherent than the custom version",C,B-,8BA,Zeppelin & Co demo unit
540,C,,Aroma Witch Girl Pro,1100,Warm,Downsloping response that sounds muted. Treble extension is its big weakness.,C,B-,4BA 2DD,AV One demo unit
541,C,,FitEar Parterre,1200,Warm,"Intimate, smooth and laidback sound",C,B-,2BA?,Jaben SG demo unit
542,C,,Dita Fealty,1300,Mild V-shape,The more natural sounding and less technical of the Dita twins.,C,B-,DD,Zeppelin & Co demo unit
543,C,,MMR Homunculus,1700,Warm neutral,"Not the worst thing out there, but also nothing special about it.",C,B-,2EST 1BA 1DD,ConnectIT demo unit
544,C,,Flipears Aurora,2100,"""Balanced""",,C,B-,2EST 6BA 2DD,e-Earphone demo unit
545,C,,Tralucent 1 Plus 5.2,2380,"""Balanced""",Tonally all over the place with a persistent lack of energy and bite in the higher frequencies.,C,B-,5BA,Jaben SG demo unit
546,C,,Audeze LCDi4 (No Cipher),2500,"""Balanced""","Low distortion, high resolution and excellent clarity marred by poor tuning which destroys timbre.",D,S+,Planar,Stereo SG demo unit
547,C,,Empire Ears Wraith,3500,Dark neutral,A Zeus with almost nonexistent treble and clarity.,C,B-,4EST 7BA,Zeppelin & Co demo unit
548,C,,Acoustune HS1004,Discont.,Bright V-shape,Probably the most unique-sounding Acoustune in the safest way; slightly warmer with more focused treble.,C,B-,DD,Third party unit
549,C,,Dita Project 71,Discont.,Warm,Too much of a downward tilt; clarity is lost and overall technicalities aren't up to par either.,C,B-,DD,Showfloor demo unit
550,C,,Rhapsodio Galaxy,Discont.,V-shaped,Lively and engaging but avoiding fatigue still. Rare combo,C,B-,DD,Zeppelin & Co demo unit
551,C,,Audeze LCD-i3 (No Cipher),900,Dark,"Low distortion, high resolution and excellent clarity marred by poor tuning which destroys timbre.",D,S,Planar,Available for demo at The Hangout
552,C,,QKZ x HBB,20,Bassy,,B,C-,DD,Third party unit
553,C,,7Hz Eternal,250,V-shaped,,C-,B,DD,Available for demo at The Hangout
554,C,,Audeze iSine 10/20 (No Cipher),400,Unique,"Low distortion, high resolution and excellent clarity marred by poor tuning which destroys timbre.",D,S-,Planar,Stereo SG demo unit
555,C,,Stax SR-002,500,"""Balanced""","Somewhat technical as expected of its estat tech, but sounds rather uneven and honky.",C-,B,Electrostatic,Third party unit
556,C,,JH Audio JH16v2,1300,Warm V-shape,Shades of a downsloping response regardless of bass setting. Too coloured and too much.,C-,B,10BA,Zeppelin & Co demo unit
557,C,,Lark Studio LSX,1700,Warm V-shape,Pretty weird tonality with no real direction. No specialties but at least isn't completely horrible.,C-,B,10BA,Music Sanctuary demo unit
558,C,,JH Audio Roxanne 2,2300,Warm V-shape,The usual JH house sound of a downsloping response with a painful treble spike.,C-,B,12BA,AV One demo unit
559,C,,Ambient Acoustics MAD16,2500,Warm V-shape,,C-,B,16BA,Review loaner
560,C,,Empire Ears Zeus-XIV,2730,Bright neutral,Top tier detail and resolution with poor tone and timbre reproduction.,D,S-,14BA,Music Sanctuary demo unit
561,C,,Lear LCM-BD4.2,1030,Bright V-shape,"Harsh, overly-textured and extremely fatiguing. Excellent technical ability completely shut down by tuning and timbre mismatch.",D+,B+,4BA 2DD,Treoo demo unit
562,C,,Kumitate KL-Sanka B,1250,Bright U-shape,"Very, very spicy tuning that's not for everyone. Big bass response and sharp, piercing highs.",D+,B+,3BA,Showfloor demo unit
563,C,,Kumitate KL-Sanka K,1250,Bright U-shape,"Very, very spicy tuning that's not for everyone. Big bass response and sharp, piercing highs.",D+,B+,3BA,Showfloor demo unit
564,C,,JH Roxanne,1745,Warm,"Rich and smooth, perfect for male vocals",D+,B+,12BA,A2A Melbourne demo unit
565,C,,Moondrop Quarks,15,Warm V-shape,,C+,C,DD,Available for demo at The Hangout
566,C,,"Venture Electronics Bonus In-Ears ""BIE""",20,V-shaped,Generic V-shaped DD with alright midrange tonality and technicalities.,C+,C,DD,Third party unit
567,C,,Tanchjim Ola,40,Neutral,,C+,C,DD,Available for demo at The Hangout
568,C,,BLON BL05,43,Bright V-shape,A more technical but far less pleasing BL03.,C,C+,DD,Available for demo at The Hangout
569,C,,Tin Audio T2 Pro,50,Bright neutral,A T2 tuned with less sub-bass and more treble. High clarity but may not be for everyone.,C,C+,2DD,Available for demo at The Hangout
570,C,,Moondrop Nekocake,50,Neutral,,C+,C,DD,Available for demo at The Hangout
571,C,,TFZ 2S,50,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C,DD,LMUE demo unit
572,C,,TFZ Exclusive 1,50,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C,DD,LMUE demo unit
573,C,,TFZ Mylove,60,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C,DD,LMUE demo unit
574,C,,QoA Vesper,70,V-shaped,Pretty much a dead ringer for the Pink Lady.,C,C+,1BA 1DD,E1 demo unit
575,C,,Shozy Form 1.1,75,Warm neutral,"Relaxing, non-fatiguing listen with minor cutbacks in detailing.",C+,C,1BA 1DD,Available for demo at The Hangout
576,C,,Whizzer HE01,80,V-shaped,"A pretty well-done V-shaped tonality, though limited by its resolving ability.",C+,C,DD,Available for demo at The Hangout
577,C,,FiiO FH1,90,V-shaped,Surprisingly better tuned than its successor. Sparkly but non-sibilant treble with good bass response.,C+,C,1BA 1DD,E1 demo unit
578,C,,Monoprice Monolith M-TWE,100,V-shaped,"Feels like an attempt on a Harman-ish response, but ends up in an odd V-shape instead.",C+,C,DD,Third party unit
579,C,,TFZ 4S,100,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C,DD,LMUE demo unit
580,C,,TFZ Exclusive 5,100,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C,DD,LMUE demo unit
581,C,,Nuarl NT100,100,V-shaped,Generic V-shaped tuning that doesn't stand out technically from other similar IEMs.,C+,C,DD,Oardio demo unit
582,C,,Shuoer D13,120,V-shaped,,C,C+,DD,Available for demo at The Hangout
583,C,,Nuarl NT110,120,V-shaped,Similar to the NT100.,C+,C,DD,Stereo SG demo unit
584,C,,VSonic VS7,120,Warm,"A less fatiguing, less technical version of its predecessor.",C+,C,DD,Available for demo at The Hangout
585,C,,BGVP DMG,140,Bassy,Decent tonal balance though bass response is not up to par.,C+,C,4BA 1DD,Available for demo at The Hangout
586,C,,QoA Pink Lady,150,V-shaped,Sounds like a slightly warmer and less balanced version of the Adonis.,C,C+,2BA 1DD,E1 demo unit
587,C,,Focal Sphear,150,Mild V-shape,"Good timbre, good bass and well-balanced tuning.",C+,C,DD,Zeppelin & Co demo unit
588,C,,Sony WF-XB700,150,U-shaped,"Very intense U-shaped signature leaning towards the bass. A little too imbalanced, but not the worst.",C+,C,DD,ConnectIT demo unit
589,C,,Simgot EN700 Pro,150,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C,DD,Jaben SG demo unit
590,C,,Soranik BMT,180,V-shaped,Good sub-bass presence but a bit too intense and forward in the upper mids.,C,C+,EST DD,Showfloor demo unit
591,C,,Klipsch T5 True Wireless,200,Neutral with bass boost,A little nasally with muted upper mids with the usual limitations of a TWS.,C,C+,DD,Third party unit
592,C,,Shozy Form 1.4,200,Warm neutral,Very similar to the Form 1.1 in both tone and technicalities.,C+,C,4BA 1DD,Available for demo at The Hangout
593,C,,Audio Technica ATH-SPORT7TW,200,U-shaped,"Clean bass and decent midrange tonality, though comes with strident treble.",C+,C,DD,Zeppelin & Co demo unit
594,C,,VSonic Ares,200,V-shaped,"The true ""GR07 Bass Edition"", but not necessarily in a positive direction.",C+,C,DD,LMUE demo unit
595,C,,BQEYZ Autumn,200,Variable,,C+,C,DD,Available for demo at The Hangout
596,C,,Symphonium Audio Aurora,220,Warm neutral,"Solid tuning, though average in technicalities.",C+,C,2BA,Music Sanctuary demo unit
597,C,,iBasso IT03w,260,Bright V-shape,Its sibilant and sharp treble is a tough trait to endure.,C+,C,2BA 1DD,Zeppelin & Co demo unit
598,C,,Shanling ME500,270,V-shaped,Generic V-shape tuning with middling technicalities.,C,C+,2BA 1DD,E1 demo unit
599,C,,Meccaudio ME20,300,Neutral,"Uneven in the upper mids and treble, but otherwise fine.",C,C+,2BA 1DD,E1 demo unit
